CustomerNo,Recency,Frequency,Monetary,Cluster
12004.0,228,1,1509.6,3
12006.0,219,1,24.76,3
12008.0,277,1,5689.57,3
12013.0,360,1,69.96000000000001,3
12024.0,177,1,149.51999999999998,3
12025.0,288,1,1021.59,3
12026.0,340,1,20486.32,2
12031.0,71,1,136.18,3
12042.0,265,1,6296.7699999999995,3
12043.0,158,1,1235.59,3
12050.0,149,1,141.67000000000002,3
12057.0,32,2,4816.81,1
12060.0,366,1,36.75,3
12063.0,218,1,39.33,3
12067.0,18,1,14293.33,1
12071.0,366,1,23215.26,2
12078.0,285,1,2667.2599999999998,3
12080.0,185,1,14378.82,2
12081.0,359,1,13.27,3
12082.0,298,1,32.89,3
12087.0,185,1,857.34,3
12089.0,265,1,1179.53,3
12090.0,185,1,736.23,3
12093.0,185,1,1986.98,3
12100.0,248,1,10683.71,2
12115.0,9,2,14211.470000000001,1
12116.0,166,1,2076.5099999999998,3
12120.0,166,1,454.16,3
12128.0,330,1,472.13,3
12130.0,32,1,63.56,3
12134.0,78,1,7825.83,2
12151.0,176,1,215.29,3
12154.0,339,1,9185.1,3
12160.0,120,1,51.2,3
12161.0,157,1,48.53,3
12165.0,256,1,1283.18,3
12167.0,256,1,1457.46,3
12171.0,309,1,1921.96,3
12174.0,43,1,111.75,3
12185.0,50,1,8369.02,2
12202.0,71,1,6810.79,2
12204.0,239,1,544.48,3
12205.0,239,1,1016.4,3
12214.0,296,1,10198.44,2
12221.0,108,2,16948.03,2
12230.0,108,1,16299.9,2
12231.0,176,1,5513.19,3
12236.0,166,1,65.52,3
12237.0,369,1,22960.43,2
12240.0,166,1,3682.15,3
12242.0,166,2,499.9,3
12245.0,146,2,2829.37,3
12251.0,369,1,1280.78,3
12252.0,369,1,344.71999999999997,3
12253.0,369,1,2184.44,3
12255.0,318,1,5592.11,3
12256.0,2,2,6606.820000000001,1
12278.0,239,1,8417.1,3
12286.0,99,1,1567.91,3
12290.0,145,1,642.38,3
12293.0,201,2,1332.27,3
12309.0,37,1,12.86,3
12321.0,191,2,561.99,3
12324.0,173,3,6207.42,2
12325.0,227,1,104.32,3
12336.0,191,1,638.92,3
12338.0,215,1,825.42,3
12340.0,227,1,4866.7699999999995,3
12346.0,326,1,840113.8,2
12347.0,3,8,38321.9,0
12348.0,76,4,25377.36,2
12349.0,19,1,7951.1,1
12350.0,128,2,2371.9,3
12352.0,37,7,6811.92,2
12353.0,205,1,296.24,3
12354.0,233,1,6356.94,3
12355.0,215,1,2930.62,3
12356.0,23,4,20298.05,2
12357.0,34,1,33893.72,2
12358.0,2,3,23772.82,0
12359.0,58,4,24503.01,2
12360.0,53,3,13959.64,2
12361.0,288,1,922.62,3
12362.0,4,10,24367.78,0
12363.0,110,2,4747.08,2
12364.0,8,5,15842.75,0
12365.0,292,1,2101.83,3
12367.0,5,2,1268.6000000000001,1
12370.0,52,4,27599.42,2
12371.0,60,1,7411.53,2
12372.0,72,3,9302.48,2
12373.0,255,2,7980.55,2
12374.0,26,1,4112.9,1
12375.0,11,2,1385.9,1
12377.0,316,2,11241.34,2
12378.0,130,1,29410.6,2
12379.0,82,2,4315.0599999999995,2
12380.0,22,4,12159.37,2
12381.0,5,3,9136.37,1
12383.0,185,5,17227.829999999998,2
12384.0,29,2,1575.27,1
12386.0,338,2,4040.2999999999997,3
12387.0,208,1,5326.62,3
12388.0,16,6,16632.03,0
12390.0,80,1,4104.7,3
12391.0,22,1,3535.27,1
12393.0,73,6,8314.75,2
12394.0,64,2,9390.52,2
12395.0,20,12,24180.37,0
