ds,yhat,yhat_lower,yhat_upper
2018-12-01,233888.93886503304,117344.38912834496,357325.2668775289
2018-12-02,280302.1695347781,163370.59742714584,398714.66587361495
2018-12-03,224723.81281768106,112928.66326261635,337101.1016746156
2018-12-04,38960.320814232386,-83915.73926018715,146765.61066407437
2018-12-05,142409.71204049085,31483.584144940694,261922.07097608468
2018-12-06,229865.28115491036,127124.16292190665,350851.17095681996
2018-12-07,284019.9770183093,171147.4263081491,396841.3751520625
2018-12-08,251462.34474367625,138690.44788543714,364658.04723329603
2018-12-09,292325.2077949367,176609.88923836543,403388.3878303938
2018-12-10,230177.53978878102,117874.03434017982,334878.25859895174
2018-12-11,36989.76290802394,-73729.1545453089,147397.2380188577
2018-12-12,132351.8546885117,18859.66063410923,250039.04532245867
2018-12-13,211272.01595021208,90364.12579473194,320028.3438139362
2018-12-14,256675.28631326073,147291.76525760646,367667.6900040097
2018-12-15,215393.29466543175,106359.22167872454,324923.3633237618
2018-12-16,247806.21818307883,137762.71479593718,367885.34406547545
2018-12-17,177727.85550756456,55848.98622141786,295140.80127529416
2018-12-18,-22635.897019959346,-141843.61861162802,97366.92870591403
2018-12-19,66524.43287943189,-50453.032966470564,182996.61163046875
2018-12-20,140414.31196863035,23506.42221402952,251157.82453199508
2018-12-21,182128.15023006563,65580.23102514328,296972.30578194594
2018-12-22,138633.99200493767,19819.62452926459,249628.89914678296
2018-12-23,170411.4392161423,54253.986262944134,285709.2421672821
2018-12-24,101333.55818961767,-12888.439630658262,211009.70782767228
2018-12-25,-96376.71139505386,-204384.86966376772,13173.37272616011
2018-12-26,-2936.0102389508684,-119160.56112781168,113838.71526405317
2018-12-27,76792.09482687025,-39277.69587912171,189678.51634830862
2018-12-28,125791.46327183896,16829.580817401296,238158.48293225557
2018-12-29,90880.61147753359,-21181.538124504248,202242.40749479487
2018-12-30,132354.24758936415,16527.462491715884,239712.051640588
2018-12-31,73869.76857308629,-38381.06470905161,189303.5484920491
2019-01-01,-112590.88292838851,-227910.91168604876,4653.1912224171765
2019-01-02,-7504.511786882882,-124866.03767371544,112443.64888306717
2019-01-03,83992.6919381927,-23752.864721858827,191140.37927341615
2019-01-04,144606.58018116688,33386.198304227895,261019.55447021735
2019-01-05,120879.52763900203,11708.076007184478,237303.5736760069
2019-01-06,172839.19545343675,55668.7051920512,284449.85840313253
2019-01-07,123892.0391960038,11876.460384484726,234233.1622869163
2019-01-08,-54208.232162801636,-172627.4353165282,64953.96160832112
2019-01-09,57862.06364076218,-52534.11681049046,163816.62903324043
2019-01-10,154801.20447090894,46097.31352390384,260499.1969560671
