ProductName,Revenue
Paper Craft Little Birdie,1002718.1000000001
Medium Ceramic Top Storage Jar,881990.18
Popcorn Holder,587433.94
World War 2 Gliders Asstd Designs,569735.39
Cream Hanging Heart T-Light Holder,484592.69
Assorted Colour Bird Ornament,421318.74
Pack Of 72 Retrospot Cake Cases,391485.02999999997
Rabbit Night Light,329029.89
Regency Cakestand 3 Tier,307483.85
Jumbo Bag Red Retrospot,297205.04
Mini Paint Set Vintage,287001.66000000003
Party Bunting,286596.09
Victorian Glass Hanging T-Light,274287.33999999997
Pack Of 12 London Tissues,271027.14
Pack Of 60 Pink Paisley Cake Cases,264629.4
Assorted Colours Silk Fan,261513.88
Red Harmonica In Box,246003.47
Brocade Ring Purse,239794.0
Paper Chain Kit 50'S Christmas,234414.31
Antique Silver T-Light Glass,216858.22999999998
Heart Of Wicker Small,210920.39
Charlotte Bag Suki Design,205303.99
Red Retrospot Charlotte Bag,195144.63999999998
60 Teatime Fairy Cake Cases,194570.86
Jam Making Set Printed,186081.61
Grow A Flytrap Or Sunflower In Tin,182585.03
Colour Glass T-Light Holder Hanging,176898.36000000002
Spaceboy Lunch Box,167810.62
Jumbo Storage Bag Suki,167595.75
60 Cake Cases Vintage Christmas,165752.19
Red Toadstool Led Night Light,162855.84
Pack Of 72 Skull Cake Cases,162807.86
Place Setting White Heart,158849.91
Vintage Snap Cards,155924.96
Jumbo Shopper Vintage Red Paisley,152721.83000000002
Hanging Jam Jar T-Light Holders,149265.48
Gin And Tonic Diet Metal Sign,149189.74
Woodland Charlotte Bag,148994.88999999998
Chilli Lights,148111.07
Homemade Jam Scented Candles,145715.87
Set/20 Red Retrospot Paper Napkins,144500.24
Black Record Cover Frame,143859.82
Please One Person Metal Sign,143344.4
Hanging Heart Jar T-Light Holder,142658.35
Girls Alphabet Iron On Patches,142190.93
Set Of 4 Pantry Jelly Moulds,141737.43
72 Sweetheart Fairy Cake Cases,141621.24
Dolly Girl Lunch Box,140121.58
Small Chinese Style Scissor,138560.84
Lunch Box I Love London,136932.77
Strawberry Ceramic Trinket Pot,133443.52
Jumbo Bag Pink Polkadot,131794.42
Travel Card Wallet Keep Calm,131713.49
Pack Of 60 Dinosaur Cake Cases,131548.55
Spotty Bunting,128130.8
Paper Chain Kit Vintage Christmas,127955.44
Roses Regency Teacup And Saucer,127397.48999999999
Jumbo Bag Vintage Doily,127112.81000000001
Set Of 60 Pantry Design Cake Cases,126214.31999999999
Heart Of Wicker Large,125203.86
Pink Blue Felt Craft Trinket Box,124414.97
Bubblegum Ring Assorted,122837.90000000001
Jam Making Set With Jars,121546.22
Disco Ball Christmas Decoration,121424.39
Fairy Cake Flannel Assorted Colour,120491.89
Lunch Bag Red Retrospot,118894.06
Cook With Wine Metal Sign,118772.52
Doughnut Lip Gloss,114517.66
Natural Slate Heart Chalkboard,114516.09
Wooden Picture Frame White Finish,113157.81
Set Of 3 Cake Tins Pantry Design,112485.15
Multi Colour Silver T-Light Holder,112226.62999999999
Aged Glass Silver T-Light Holder,111306.84
Rotating Silver Angels T-Light Hldr,109835.88
Red Retrospot Wrap,109823.18
Strawberry Charlotte Bag,108944.31999999999
6 Ribbons Rustic Charm,108723.77
Round Snack Boxes Set Of4 Woodland,108640.4
"Assorted Flower Colour ""Leis""",108380.4
Charlotte Bag Pink Polkadot,107003.31999999999
Recipe Box Pantry Yellow Design,106598.11
Jumbo Bag Strawberry,105695.66
Cream Heart Card Holder,105670.59999999999
Wooden Heart Christmas Scandinavian,103833.64
Alarm Clock Bakelike Red,101488.39
Soldiers Egg Cup,101269.81999999999
Pack Of 12 Traditional Crayons,100956.14
Paper Bunting Retrospot,100043.69
Clothes Pegs Retrospot Pack 24,100000.51
Red Hanging Heart T-Light Holder,99763.99
Wooden Star Christmas Scandinavian,99157.82
Pens Assorted Funny Face,99057.31999999999
Hanging Heart Zinc T-Light Holder,98954.81999999999
Gardeners Kneeling Pad Keep Calm,98100.29
Gumball Coat Rack,97446.22
Bag 125g Swirly Marbles,97365.66
Antique Silver Tea Glass Engraved,96333.86
Hand Warmer Owl Design,96300.56000000001
Set/6 Red Spotty Paper Plates,96236.07
Set Of 20 Vintage Christmas Napkins,95762.18
Green Regency Teacup And Saucer,94643.21
Hand Over The Chocolate Sign,93937.55
Plasters In Tin Spaceboy,93477.83
Wood Black Board Ant White Finish,93318.3
Set Of 3 Regency Cake Tins,92427.67
Funky Diva Pen,92334.16
Jumbo Bag Apples,92152.24
Pack Of 12 Hearts Design Tissues,92131.5
Rain Poncho Retrospot,90997.59999999999
Traditional Wooden Skipping Rope,90623.83
Plasters In Tin Woodland Animals,90600.81999999999
Ice Cream Sundae Lip Gloss,90539.4
Doormat Keep Calm And Come In,90494.72
Wrap Vintage Leaf Design,90260.68
Wooden Frame Antique White,90183.79
Set Of 12 Fairy Cake Baking Cases,89898.58
Asstd Design 3d Paper Stickers,89577.84
Popart Wooden Pencils Asst,89534.0
Hot Baths Metal Sign,89466.84
Fancy Fonts Birthday Wrap,89464.5
Pack Of 60 Spaceboy Cake Cases,88993.94
T-Light Glass Fluted Antique,88615.89
Vintage Heads And Tails Card Game,88348.06
Alarm Clock Bakelike Green,87975.45
Round Snack Boxes Set Of 4 Fruits,87047.07
Chocolate Hot Water Bottle,86992.26
Charlotte Bag Apples Design,86453.23999999999
Jumbo Bag Baroque Black White,85872.79000000001
Blue Harmonica In Box,85749.56999999999
Traditional Modelling Clay,85678.54999999999
Spaceboy Birthday Card,85062.73
Coloured Glass Star T-Light Holder,84995.62
Recycling Bag Retrospot,84966.0
Wrap Alphabet Design,84653.68
Set Of 60 I Love London Cake Cases,84549.84999999999
Set Of 6 Spice Tins Pantry Design,84527.17
Box Of 24 Cocktail Parasols,84450.07
Jumbo Bag Alphabet,83023.38
Pink Cream Felt Craft Trinket Box,82778.79999999999
Gingerbread Man Cookie Cutter,82299.33
Hot Water Bottle Tea And Sympathy,81803.05
Set/5 Red Retrospot Lid Glass Bowls,81387.7
Regency Tea Plate Roses,80728.18
60 Cake Cases Dolly Girl Design,80210.95
Pack Of 12 Suki Tissues,79420.19
Hot Water Bottle Keep Calm,78899.81
Lunch Bag Vintage Doily,78893.84
Jumbo Storage Bag Skulls,77748.69
Set/6 Red Spotty Paper Cups,77671.51
Gardeners Kneeling Pad Cup Of Tea,77304.25
Large Circular Mirror Mobile,76813.28
Ice Cream Pen Lip Gloss,76640.79
Wrap English Rose,76421.18
Hand Warmer Scotty Dog Design,76399.51000000001
Wrap Vintage Doily,76300.61
12 Pencils Small Tube Skull,76174.92
Lunch Bag Suki Design,76084.23
Polkadot Pen,76064.34
Clear Drawer Knob Acrylic Edwardian,76047.48999999999
Set 12 Kids Colour Chalk Sticks,76033.62
Set/10 Red Polkadot Party Candles,75795.40999999999
Feltcraft 6 Flower Friends,74988.75
Pink Regency Teacup And Saucer,74890.08
Lunch Bag Black Skull,74396.92
Gingham Heart Decoration,74289.37
Hand Warmer Bird Design,74053.21
Childrens Cutlery Polkadot Pink,73626.62
Blue Polkadot Wrap,73414.11
Regency Tea Plate Green,73245.19
Lunch Bag Apple Design,73183.2
Alarm Clock Bakelike Pink,72782.67
Feltcraft Butterfly Hearts,72525.2
Lunch Bag Cars Blue,72079.05
Dinosaur Keyrings Assorted,71991.04000000001
10 Colour Spaceboy Pen,71972.51
Pack Of 20 Napkins Pantry Design,71924.35
Wooden Box Of Dominoes,71736.94
Baking Set 9 Piece Retrospot,70981.5
Set Of Tea Coffee Sugar Tins Pantry,70910.44
Jumbo Bag Owls,70578.28
Pack Of 12 Red Retrospot Tissues,70499.44
Plasters In Tin Circus Parade,70422.19
12 Pencils Small Tube Red Retrospot,70088.93
Plasters In Tin Strongman,69837.39
Traditional Knitting Nancy,69797.31
Single Heart Zinc T-Light Holder,69471.27
Spaceboy Gift Wrap,69437.36
Pack Of 6 Birdy Gift Tags,69091.81999999999
Christmas Pudding Trinket Pot,68827.6
Doormat Red Retrospot,68775.81
Paper Chain Kit Empire,68597.45999999999
Jumbo Bag Pink Vintage Paisley,68407.16
Paper Pocket Traveling Fan,68153.68000000001
N0 Singing Metal Sign,67985.38
Set Of 3 Heart Cookie Cutters,67894.65
Sweetheart Ceramic Trinket Box,67785.26
